IRN;25;DF;Abolfazl Jalali;26/06/1998
USA;1;GK;Matt Turner;24/06/1994
USA;2;DF;Sergiño Dest;03/11/2000
USA;3;DF;Walker Zimmerman;19/05/1993
USA;4;MF;Tyler Adams;14/02/1999
USA;5;DF;Antonee Robinson;08/08/1997
USA;6;MF;Yunus Musah;29/11/2002
USA;7;FW;Giovanni Reyna;13/11/2002
USA;8;MF;Weston McKennie;28/08/1998
USA;9;FW;Jesús Ferreira;24/12/2000
USA;10;FW;Christian Pulisic;18/09/1998
USA;11;FW;Brenden Aaronson;22/12/2000
USA;12;GK;Ethan Horvath;09/06/1995
USA;13;DF;Tim Ream;05/12/1987
USA;14;MF;Luca de la Torre;23/05/1998
USA;15;DF;Aaron Long;12/12/1992
USA;16;FW;Jordan Morris;26/12/1994
USA;17;MF;Cristian Roldan;03/06/1995
USA;18;DF;Shaq Moore;02/11/1996
USA;19;FW;Haji Wright;27/03/1998
USA;20;DF;Cameron Carter-Vickers;31/12/1997
USA;21;FW;Timothy Weah;22/02/2000
USA;22;DF;DeAndre Yedlin;09/07/1993
USA;23;MF;Kellyn Acosta;24/07/1995
USA;24;FW;Josh Sargent;20/02/2000
USA;25;GK;Sean Johnson;31/05/1989
USA;26;DF;Joe Scally;31/12/2002
WAL;1;GK;Wayne Hennessey;24/01/1987
WAL;2;DF;Chris Gunter;21/07/1989
WAL;3;DF;Neco Williams;13/04/2001
WAL;4;DF;Ben Davies;24/04/1993
WAL;5;DF;Chris Mepham;05/11/1997
WAL;6;DF;Joe Rodon;22/12/1997
WAL;7;MF;Joe Allen;14/03/1990
WAL;8;MF;Harry Wilson;22/03/1997
WAL;9;FW;Brennan Johnson;23/05/2001
WAL;10;MF;Aaron Ramsey;26/12/1990
WAL;11;FW;Gareth Bale;16/07/1989
WAL;12;GK;Danny Ward;22/06/1993
WAL;13;FW;Kieffer Moore;08/08/1992
WAL;14;DF;Connor Roberts;23/09/1995
WAL;15;DF;Ethan Ampadu;14/09/2000
WAL;16;MF;Joe Morrell;03/01/1997
WAL;17;DF;Tom Lockyer;03/12/1994
WAL;18;MF;Jonny Williams;09/12/1993
WAL;19;FW;Mark Harris;29/12/1998
